,date,capacity,turnover,open,high,low,close,change,transaction
126,2010/7/9,1365435,196364705,144,145,141,144,0,594
127,2010/7/12,4298498,646235907,143,154,143,152,8,1844
128,2010/7/13,2007176,299125797,150.5,151.5,147,150.5,-1.5,1166
129,2010/7/14,2949077,426843046,149,149,140.5,143.5,0,1627
130,2010/7/15,992896,142676628,142,144.5,142,144,0.5,739
131,2010/7/16,1761591,247205876,143.5,144,136.5,136.5,-7.5,1188
132,2010/7/19,2443264,334838854,135.5,141.5,132,141.5,5,1345
133,2010/7/20,2407180,340850880,141,143.5,140,141.5,0,1174
134,2010/7/21,691019,97624679,141.5,142.5,139,141.5,0,397
135,2010/7/22,1056373,146010847,140.5,140.5,137,138,-3.5,570
136,2010/7/23,1137320,159440660,139,141.5,139,139,1,730
137,2010/7/26,2104865,286010370,139,139,133,135,-4,1014
138,2010/7/27,2320686,313265263,135,136,133,134.5,-0.5,999
139,2010/7/28,1491118,200982812,134.5,135.5,133.5,134,-0.5,1157
140,2010/7/29,1169862,156699008,134,135.5,133,133.5,-0.5,869
141,2010/7/30,1112514,146659474,133,133,131,131,-2.5,846
142,2010/8/2,1943086,261534524,132.5,136,132.5,135,4,1199
143,2010/8/3,2131728,290367780,137,137.5,134.5,135.5,0.5,1098
144,2010/8/4,1202935,160961318,134.5,135,132,133.5,-2,899
145,2010/8/5,2501200,328151500,134.5,134.5,129.5,130,-3.5,1658
146,2010/8/6,1077462,141639984,130,133,129.5,133,3,826
147,2010/8/9,539277,72307618,133,135,133,134.5,1.5,420
148,2010/8/10,342901,45391333,135,135,131.5,131.5,-3,286
149,2010/8/11,5498632,680865000,129.5,129.5,122.5,124,-7.5,3262
150,2010/8/12,5905656,685730575,119,120.5,115.5,115.5,-8.5,2854
151,2010/8/13,7654550,877229100,115.5,116.5,112.5,114.5,-1,3874
152,2010/8/16,1450987,167785953,114.5,116.5,114,116,1.5,943
153,2010/8/17,1859671,216169507,118,118,114.5,115,-1,1216
154,2010/8/18,1885660,219518200,116,117,115.5,117,2,1246
155,2010/8/19,1415780,167412100,118,120,115.5,119,2,1029
156,2010/8/20,1204395,142128202,118.5,118.5,117,118,-1,628
157,2010/8/23,1887853,224824713,118,120,117,119,1,987
158,2010/8/24,1660280,197308300,119,119.5,117.5,119,0,896
159,2010/8/25,4867722,549474030,118,118,111.5,111.5,-7.5,2505
160,2010/8/26,7119224,755245192,110,111,104.5,105,-6.5,3536
161,2010/8/27,3531939,372228435,103,108,103,107.5,2.5,2158
162,2010/8/30,6176827,638496508,109,109.5,100,101.5,-6,2679
163,2010/8/31,4671837,472464663,101,103,99.9,103,1.5,1939
164,2010/9/1,2849300,301023348,105,107.5,102,107.5,4.5,1740
165,2010/9/2,2874972,304608004,108,109,104.5,105,-2.5,1476
166,2010/9/3,1718952,183296836,105,108,105,107,2,1139
167,2010/9/6,1850105,199556050,108.5,109,106,108.5,1.5,1122
168,2010/9/7,2017189,220940290,109,111.5,107,109,0.5,1135
169,2010/9/8,1595588,176247385,109,113,108.5,109.5,0.5,1112
170,2010/9/9,1036240,113252660,111.5,111.5,107,107.5,-2,609
171,2010/9/10,1376658,151207880,109.5,111,109,109.5,2,758
172,2010/9/13,2066641,234916247,110,115,110,114,4.5,1385
173,2010/9/14,1319258,148636520,114,114.5,111,112.5,-1.5,696
174,2010/9/15,2285322,253175242,113,113,109.5,111,-1.5,1164
175,2010/9/16,1627284,178851240,110,111,109,109.5,-1.5,825
176,2010/9/17,1752132,193132020,110,111.5,109.5,110,0.5,781
177,2010/9/20,437981,48483398,112,112,110,110.5,0.5,318
178,2010/9/21,3429798,372539482,111.5,112,107.5,108.5,-2,1425
179,2010/9/23,867472,94565948,108,110,107.5,109,0.5,679
180,2010/9/24,1110427,121485970,110,110,108.5,110,1,796
181,2010/9/27,1181940,130355720,110,111,109,110.5,0.5,639
182,2010/9/28,3508849,402949984,111,117,110.5,116,5.5,2239
183,2010/9/29,8670524,1061803976,118,124,118,124,8,3561
184,2010/9/30,1989170,241688070,123,123,120.5,121,-3,1208
185,2010/10/1,2640478,326722011,120.5,126,120,124.5,3.5,1503
186,2010/10/4,2101896,259526708,125,127,122,123.5,-1,1093
187,2010/10/5,1832727,221265100,121,123.5,119,120,-3.5,924
188,2010/10/6,1706063,208084749,123,124,120.5,123.5,3.5,847
189,2010/10/7,1537589,186121449,124,124,120,121,-2.5,936
190,2010/10/8,1780430,214010813,121,121.5,119.5,120,-1,820
191,2010/10/11,3320170,387236220,120,121.5,114,114.5,-5.5,1741
192,2010/10/12,1378030,157436950,114.5,115.5,113,115,0.5,870
193,2010/10/13,2936810,332582555,115,116,111,114.5,-0.5,1294
194,2010/10/14,2672170,308139971,114.5,116.5,113.5,116.5,2,1158
195,2010/10/15,1116465,128673171,116,116,114.5,114.5,-2,615
196,2010/10/18,733240,83726478,115,115,113.5,114.5,0,450
197,2010/10/19,680820,78849540,114,117,113.5,116.5,2,512
198,2010/10/20,2002374,231846384,114,118.5,113.5,115.5,-1,1356
199,2010/10/21,854782,99528320,116,117.5,115.5,115.5,0,728
200,2010/10/22,649902,75033632,116.5,116.5,114.5,116,0.5,370
201,2010/10/25,627625,73090500,116.5,117,116,117,1,402
202,2010/10/26,3048291,372695211,118,124.5,118,121.5,4.5,1880
203,2010/10/27,2983260,359240200,123,123.5,119.5,119.5,-2,1436
204,2010/10/28,1674548,204170356,121,123.5,119.5,122.5,3,1178
205,2010/10/29,2369666,294980084,122.5,126,121.5,125,2.5,1331
206,2010/11/1,2127173,265083535,124,127,122,125,0,1050
207,2010/11/2,2235892,266165864,122,123,116.5,117,-8,1519
208,2010/11/3,4845385,539581152,117,117,109,109,-8,2833
209,2010/11/4,3520815,385196555,109,111,108,110,1,1823
210,2010/11/5,1971595,219852545,111,112.5,111,111.5,1.5,1038
211,2010/11/8,862798,96340578,112,112,111,111.5,0,594
212,2010/11/9,1550529,175436748,111,114.5,111,112.5,1,832
213,2010/11/10,694815,78303670,112.5,113.5,111.5,113,0.5,460
214,2010/11/11,1313491,147476501,112,113.5,111,111,-2,758
215,2010/11/12,948466,105600958,112,112,110.5,111,0,666
